#ID	start_group[0-10]	arrival_time_s_after_start
P2726	2	1244.0
M13384	2	1244.0
M1068	1	1245.0
M1061	1	1245.0
M3784	1	1245.0
M2376	1	1248.0
P1105	1	1248.0
M2355	2	1248.0
M3265	2	1250.0
M2334	1	1251.0
M3739	2	1251.0
P2482	2	1251.0
M2298	2	1252.0
F58	0	1252.0
M2124	2	1252.0
M2295	2	1253.0
M11670	1	1254.0
M305	0	1254.0
M2313	2	1254.0
M3350	2	1255.0
M3866	2	1255.0
M3744	1	1255.0
M2075	1	1256.0
M3765	2	1256.0
M4676	2	1256.0
M2263	2	1257.0
M1145	1	1257.0
M3355	2	1257.0
P1670	2	1258.0
M2042	2	1258.0
M2109	2	1259.0
P2318	2	1259.0
M4517	2	1259.0
M3855	2	1260.0
M9265	2	1260.0
P1687	1	1260.0
M2366	2	1261.0
P2187	2	1261.0
M1013	1	1262.0
M3204	2	1262.0
M2324	2	1262.0
P1202	2	1263.0
M1202	1	1264.0
M3638	2	1264.0
M3783	2	1265.0
P2582	2	1265.0
M3302	2	1266.0
M2211	2	1268.0
M2048	2	1270.0
M3806	1	1270.0
M2166	2	1271.0
M2125	2	1271.0
P1149	2	1272.0
P2934	2	1273.0
M2384	2	1273.0
P2822	2	1274.0
M3293	2	1274.0
M1180	1	1276.0
M1082	1	1276.0
M4675	2	1277.0
P1236	2	1277.0
V1058	1	1277.0
V1168	2	1278.0
M3667	3	1279.0
M1015	1	1279.0
M1076	1	1279.0
M3791	1	1279.0
M2221	2	1280.0
M3646	2	1280.0
M3286	1	1280.0
M2009	1	1280.0
P1964	2	1281.0
M3601	2	1281.0
M3283	2	1282.0
M2393	2	1282.0
P2201	1	1282.0
M1116	1	1283.0
M2110	2	1283.0
M3066	1	1283.0
M2253	2	1283.0
P2426	2	1283.0
P2773	1	1283.0
M3233	2	1283.0
M2230	2	1284.0
M1006	1	1284.0
M2149	2	1284.0
M2381	2	1285.0
M3193	3	1285.0
M3138	2	1285.0
M3720	1	1285.0
M11381	2	1286.0
M1176	1	1287.0
M4677	2	1287.0
M2228	2	1289.0
M3795	2	1289.0
M4682	2	1290.0
M3357	2	1290.0
M3382	2	1291.0
M3250	1	1292.0
M2103	2	1293.0
M2264	2	1293.0
M2154	2	1294.0
M2132	2	1294.0
M3845	2	1294.0
M3626	2	1294.0
M3307	1	1295.0
M3278	2	1295.0
P2514	2	1295.0
F1005	1	1295.0
M2378	2	1296.0
M2280	2	1297.0
M3718	2	1297.0
M4926	2	1297.0
M224	0	1297.0
P1359	2	1298.0
M1063	1	1298.0
F11502	2	1298.0
M2089	2	1299.0
M1143	1	1299.0
M11367	2	1299.0
P1888	1	1300.0
M4743	2	1301.0
M3787	2	1301.0
M2345	2	1301.0
M3210	1	1301.0
M4543	2	1301.0
M2226	2	1303.0
M2320	2	1305.0
M3615	2	1306.0
M2302	2	1306.0
M4731	2	1306.0
M2365	2	1307.0
M3780	2	1307.0
M2100	2	1309.0
M3324	2	1311.0
F11436	2	1311.0
M3824	2	1311.0
